Time(s),Input(v),Output(v),Output(m),
7.4,2.51,0,0,
7.5,2.505,0,0,0
7.6,2.515,0,0,0
7.7,2.505,0,0,0
7.8,2.515,0,0,0
7.9,2.51,0,0,0
8,2.505,0,0,0
8.1,2.505,0,0,0
8.2,2.505,0,0,0
8.3,2.51,0,0,0
8.4,2.505,0,0,0
8.5,2.515,0,0,0
8.6,2.51,0,0,0
8.7,2.505,0,0,0
8.8,2.51,0,0,0
8.9,2.51,0,0,0
9,2.505,0,0,0
9.1,2.51,0,0,0
9.2,2.505,0,0,0
9.3,2.51,0,0,0
9.4,2.52,0,0,0
9.5,2.515,0,0,0
9.6,2.515,0,0,0
9.7,2.51,0,0,0
9.8,2.505,0,0,0
9.9,2.51,0,0,0
10,2.515,0,0,0
10.1,2.52,0,0,0
10.2,2.51,0,0,0
10.3,2.515,0,0,0
10.4,2.51,0,0,0
10.5,2.51,0,0,0
10.6,2.51,0,0,0
10.7,2.51,0,0,0
10.8,2.51,0,0,0
10.9,2.51,0,0,0
11,2.51,0,0,0
11.1,2.51,0,0,0
11.2,2.51,0,0,0
11.3,2.51,0,0,0
11.4,2.51,0,0,0
11.5,2.505,0,0,0
11.6,2.51,0,0,0
11.7,2.515,0,0,0
11.8,2.5,0,0,0
11.9,2.505,0,0,0
12,2.505,0,0,0
12.1,2.51,0,0,0
12.2,2.515,0,0,0
12.3,2.51,0,0,0
12.4,2.51,0,0,0
12.5,2.51,0,0,0
12.6,2.515,0,0,0
12.7,2.51,0,0,0
12.8,2.51,0,0,0
12.9,2.51,0,0,0
13,2.515,0,0,0
13.1,2.51,0,0,0
13.2,2.51,0,0,0
13.3,2.505,0,0,0
13.4,2.51,0,0,0
13.5,2.51,0,0,0
13.6,2.505,0,0,0
13.7,2.515,0,0,0
13.8,2.515,0,0,0
13.9,2.515,0,0,0
14,2.51,0,0,0
14.1,2.51,0,0,0
14.2,2.51,0,0,0
14.3,2.51,0,0,0
14.4,2.505,0,0,0
14.5,2.51,0,0,0
14.6,2.515,0,0,0
14.7,2.505,0,0,0
14.8,2.51,0,0,0
14.9,2.505,0,0,0
15,2.51,0,0,0
15.1,2.51,0,0,0
15.2,2.51,0,0,0
15.3,2.51,0,0,0
15.4,2.51,0,0,0
15.5,2.51,0,0,0
15.6,2.51,0,0,0
15.7,2.51,0,0,0
15.8,2.515,0,0,0
15.9,2.505,0,0,0
16,2.515,0,0,0
16.1,2.52,0,0,0
16.2,2.51,0,0,0
16.3,2.51,0,0,0
16.4,2.51,0,0,0
16.5,2.515,0,0,0
16.6,2.51,0,0,0
16.7,2.505,0,0,0
16.8,2.515,0,0,0
16.9,2.51,0,0,0
17,2.51,0,0,0
17.1,2.52,0,0,0
17.2,2.515,0,0,0
17.3,2.515,0,0,0
17.4,2.51,0,0,0
17.5,2.51,0,0,0
17.6,2.51,0,0,0
17.7,2.51,0,0,0
17.8,2.505,0,0,0
17.9,2.51,0,0,0
18,2.51,0,0,0
18.1,2.515,0,0,0
18.2,2.505,0,0,0
18.3,2.51,0,0,0
18.4,2.515,0,0,0
18.5,2.51,0,0,0
18.6,2.51,0,0,0
18.7,2.505,0,0,0
18.8,2.51,0,0,0
18.9,2.505,0,0,0
19,2.51,0,0,0
19.1,2.515,0,0,0
19.2,2.51,0,0,0
19.3,2.51,0,0,0
19.4,2.51,0,0,0
19.5,2.51,0,0,0
19.6,2.515,0,0,0
19.7,2.51,0,0,0
19.8,2.515,0,0,0
19.9,2.51,0,0,0
20,2.51,0,0,0
20.1,2.515,0,0,0
20.2,2.51,0,0,0
20.3,2.505,0,0,0
20.4,2.515,0,0,0
20.5,2.51,0,0,0
20.6,2.51,0,0,0
20.7,2.505,0,0,0
20.8,2.51,0,0,0
20.9,2.515,0,0,0
21,2.515,0,0,0
21.1,2.51,0,0,0
21.2,2.51,0,0,0
21.3,2.51,0,0,0
21.4,2.505,0,0,0
21.5,2.5,0,0,0
21.6,2.51,0,0,0
21.7,2.505,0,0,0
21.8,2.515,0,0,0
21.9,2.505,0,0,0
22,2.51,0,0,0
22.1,2.515,0,0,0
22.2,2.51,0,0,0
22.3,2.51,0,0,0
22.4,2.51,0,0,0
22.5,2.52,0,0,0
22.6,2.52,0,0,0
22.7,2.51,0,0,0
22.8,2.51,0,0,0
22.9,2.51,0,0,0
23,2.51,0,0,0
23.1,2.51,0,0,0
23.2,2.51,0,0,0
23.3,2.51,0,0,0
23.4,2.505,0,0,0
23.5,2.505,0,0,0
23.6,2.51,0,0,0
23.7,2.51,0,0,0
23.8,2.515,0,0,0
23.9,2.515,0,0,0
24,2.51,0,0,0
24.1,2.505,0,0,0
24.2,2.505,0,0,0
24.3,2.505,0,0,0
24.4,2.51,0,0,0
24.5,2.515,0,0,0
24.6,2.505,0,0,0
24.7,2.51,0,0,0
24.8,2.505,0,0,0
24.9,2.51,0,0,0
25,2.51,0,0,0
25.1,2.52,0,0,0
25.2,2.51,0,0,0
25.3,2.505,0,0,0
25.4,2.51,0,0,0
25.5,2.505,0,0,0
25.6,2.51,0,0,0
25.7,2.51,0,0,0
25.8,2.515,0,0,0
25.9,2.51,0,0,0
26,2.505,0,0,0
26.1,2.515,0,0,0
26.2,2.51,0,0,0
26.3,2.515,0,0,0
26.4,2.51,0,0,0
26.5,2.515,0,0,0
26.6,2.505,0,0,0
26.7,2.51,0,0,0
26.8,2.505,0,0,0
26.9,2.51,0,0,0
27,2.51,0,0,0
27.1,2.51,0,0,0
27.2,2.51,0,0,0
27.3,2.51,0,0,0
27.4,2.51,0,0,0
27.5,2.51,0,0,0
27.6,2.51,0,0,0
27.7,2.51,0,0,0
27.8,2.515,0,0,0
27.9,2.51,0,0,0
28,2.505,0,0,0
28.1,2.51,0,0,0
28.2,2.505,0,0,0
28.3,2.51,0,0,0
28.4,2.515,0,0,0
28.5,2.529,0.001,0.001,0.01
28.6,2.524,0.001,0.002,0.01
28.7,2.524,0.002,0.002,0
28.8,2.524,0.003,0.004,0.02
28.9,2.52,0.004,0.005,0.01
29,2.52,0.005,0.007,0.02
29.1,2.524,0.007,0.008,0.01
29.2,2.681,0.008,0.01,0.02
29.3,5,0.011,0.014,0.04
29.4,5,0.034,0.043,0.29
29.5,5,0.076,0.098,0.55
